timestamp,question,pipeline,avg_ce_score,avg_kw_score,avg_answer_length,avg_email_count,avg_tutorial_count,avg_pdf_count
2026-04-16T22:51:57,Why should SHAKE be disabled during minimization in AMBER?,LLM + RAG,5.9963,5.6667,362.3333,4.0,0.0,1.0
2026-04-16T22:52:23,Why should SHAKE be disabled during minimization in AMBER?,LLM only,6.6665,6.6667,1467.6667,0.0,0.0,0.0
2026-04-16T22:52:23,Why should SHAKE be disabled during minimization in AMBER?,ChatGPT Web manual,6.3963,6.6667,1050.0,0.0,0.0,0.0
2026-04-16T23:06:02,Why is energy minimization required before molecular dynamics?,LLM + RAG,9.5389,7.0,427.0,2.0,1.0,2.0
2026-04-16T23:06:33,Why is energy minimization required before molecular dynamics?,LLM only,7.789,6.6667,1768.3333,0.0,0.0,0.0
2026-04-16T23:06:33,Why is energy minimization required before molecular dynamics?,ChatGPT Web manual,8.5182,6.6667,973.6667,0.0,0.0,0.0
2026-04-16T23:38:38,How do you perform energy minimization in AMBER?,LLM + RAG,9.2794,6.6667,1267.6667,2.0,0.0,3.0
2026-04-16T23:40:45,How do you perform energy minimization in AMBER?,LLM only,8.3224,6.3333,2024.3333,0.0,0.0,0.0
2026-04-16T23:40:46,How do you perform energy minimization in AMBER?,ChatGPT Web manual,8.5871,5.0,1539.0,0.0,0.0,0.0
2026-04-16T23:48:08,How is the system heated from 0 K to 300 K in AMBER?,LLM + RAG,6.5622,10.0,184.0,5.0,0.0,0.0
2026-04-16T23:48:49,How is the system heated from 0 K to 300 K in AMBER?,LLM only,6.4738,11.0,2023.3333,0.0,0.0,0.0
2026-04-16T23:48:49,How is the system heated from 0 K to 300 K in AMBER?,ChatGPT Web manual,8.7093,11.6667,1557.3333,0.0,0.0,0.0
2026-04-16T23:56:11,What does ntmin=1 vs ntmin=2 do in minimization?,LLM + RAG,8.5063,6.3333,972.6667,5.0,0.0,0.0
2026-04-16T23:56:46,What does ntmin=1 vs ntmin=2 do in minimization?,LLM only,7.0502,6.3333,1564.0,0.0,0.0,0.0
2026-04-16T23:56:46,What does ntmin=1 vs ntmin=2 do in minimization?,ChatGPT Web manual,5.4888,5.0,972.0,0.0,0.0,0.0
2026-04-17T00:04:16,"Can AMBER18 be compiled to work with A100 GPUs, or is upgrading to AMBER20 required due to CUDA compatibility issues?",LLM + RAG,10.4429,15.6667,331.0,5.0,0.0,0.0
2026-04-17T00:04:47,"Can AMBER18 be compiled to work with A100 GPUs, or is upgrading to AMBER20 required due to CUDA compatibility issues?",LLM only,9.0171,16.3333,1510.0,0.0,0.0,0.0
2026-04-17T00:04:47,"Can AMBER18 be compiled to work with A100 GPUs, or is upgrading to AMBER20 required due to CUDA compatibility issues?",ChatGPT Web manual,7.9644,12.0,1479.3333,0.0,0.0,0.0
2026-04-17T00:13:38,How can I fix or bypass Boost-related build errors when compiling Amber20/AmberTools21 on CentOS 9?,LLM + RAG,9.8361,13.6667,906.3333,4.0,0.0,1.0
2026-04-17T00:14:42,How can I fix or bypass Boost-related build errors when compiling Amber20/AmberTools21 on CentOS 9?,LLM only,8.7147,15.0,2854.6667,0.0,0.0,0.0
2026-04-17T00:14:42,How can I fix or bypass Boost-related build errors when compiling Amber20/AmberTools21 on CentOS 9?,ChatGPT Web manual,7.0098,11.6667,3349.3333,0.0,0.0,0.0
2026-04-17T00:23:18,How can I compile Amber18s pmemd.cuda to work with an RTX 3080TI and CUDA 11+?,LLM + RAG,9.9797,11.0,749.6667,3.0,0.0,2.0
2026-04-17T00:24:18,How can I compile Amber18s pmemd.cuda to work with an RTX 3080TI and CUDA 11+?,LLM only,8.5539,11.3333,2626.3333,0.0,0.0,0.0
2026-04-17T00:24:18,How can I compile Amber18s pmemd.cuda to work with an RTX 3080TI and CUDA 11+?,ChatGPT Web manual,7.8644,13.0,2132.3333,0.0,0.0,0.0
2026-04-17T00:32:06,How do I use tleap to build a solvated system?,LLM + RAG,9.3641,7.3333,1295.0,5.0,0.0,0.0
2026-04-17T00:33:10,How do I use tleap to build a solvated system?,LLM only,7.8713,8.6667,2806.0,0.0,0.0,0.0
2026-04-17T00:33:10,How do I use tleap to build a solvated system?,ChatGPT Web manual,6.1078,7.0,2616.0,0.0,0.0,0.0
2026-04-17T00:40:33,How do I use paramfit to generate force field parameters for boron-containing compounds?,LLM + RAG,10.2579,11.0,856.3333,3.0,0.0,2.0
2026-04-17T00:41:22,How do I use paramfit to generate force field parameters for boron-containing compounds?,LLM only,8.8049,12.6667,2591.0,0.0,0.0,0.0
2026-04-17T00:41:22,How do I use paramfit to generate force field parameters for boron-containing compounds?,ChatGPT Web manual,6.5501,13.0,4410.0,0.0,0.0,0.0
2026-04-17T00:48:20,How do I save topology and coordinate files in tleap?,LLM + RAG,10.2445,7.0,456.0,4.0,0.0,1.0
2026-04-17T00:48:43,How do I save topology and coordinate files in tleap?,LLM only,10.1789,7.6667,909.3333,0.0,0.0,0.0
2026-04-17T00:48:44,How do I save topology and coordinate files in tleap?,ChatGPT Web manual,8.4096,7.0,1278.3333,0.0,0.0,0.0
2026-04-17T00:55:53,Why does pmemd.cuda report illegal memory access during minimization?,LLM + RAG,6.8528,6.6667,871.0,5.0,0.0,0.0
2026-04-17T00:56:39,Why does pmemd.cuda report illegal memory access during minimization?,LLM only,7.4499,7.3333,2212.0,0.0,0.0,0.0
2026-04-17T00:56:39,Why does pmemd.cuda report illegal memory access during minimization?,ChatGPT Web manual,6.9855,7.6667,3392.0,0.0,0.0,0.0
2026-04-17T01:03:48,pmemd.cuda stops with periodic box dimensions have changed too much during NPT equilibration  what usually causes this and how should it be fixed?,LLM + RAG,7.412,15.0,784.6667,5.0,0.0,0.0
2026-04-17T01:04:34,pmemd.cuda stops with periodic box dimensions have changed too much during NPT equilibration  what usually causes this and how should it be fixed?,LLM only,7.2582,19.0,2206.6667,0.0,0.0,0.0
2026-04-17T01:04:34,pmemd.cuda stops with periodic box dimensions have changed too much during NPT equilibration  what usually causes this and how should it be fixed?,ChatGPT Web manual,6.4141,18.6667,2838.3333,0.0,0.0,0.0
2026-04-17T01:12:03,"Why does pdb4amber fail with a NumPy/ParmEd error on Ubuntu 24.04, and how can I fix it?",LLM + RAG,8.5042,14.3333,776.0,5.0,0.0,0.0
2026-04-17T01:12:53,"Why does pdb4amber fail with a NumPy/ParmEd error on Ubuntu 24.04, and how can I fix it?",LLM only,6.6182,14.6667,2136.3333,0.0,0.0,0.0
2026-04-17T01:12:53,"Why does pdb4amber fail with a NumPy/ParmEd error on Ubuntu 24.04, and how can I fix it?",ChatGPT Web manual,7.0068,15.0,2775.0,0.0,0.0,0.0
2026-04-17T01:19:22,How can I fix the SSL certificate error when downloading Miniconda during AmberTools25 installation?,LLM + RAG,5.6854,8.0,371.3333,5.0,0.0,0.0
2026-04-17T01:20:14,How can I fix the SSL certificate error when downloading Miniconda during AmberTools25 installation?,LLM only,7.2648,11.0,2537.6667,0.0,0.0,0.0
2026-04-17T01:20:15,How can I fix the SSL certificate error when downloading Miniconda during AmberTools25 installation?,ChatGPT Web manual,7.2677,12.0,2657.3333,0.0,0.0,0.0
2026-04-17T01:26:39,"What typically causes the error ""cudaMemcpy GpuBuffer::Download failed: an illegal memory access was encountered",LLM + RAG,9.5009,12.3333,753.6667,5.0,0.0,0.0
2026-04-17T01:27:12,"What typically causes the error ""cudaMemcpy GpuBuffer::Download failed: an illegal memory access was encountered",LLM only,8.737,14.0,1726.6667,0.0,0.0,0.0
2026-04-17T01:27:12,"What typically causes the error ""cudaMemcpy GpuBuffer::Download failed: an illegal memory access was encountered",ChatGPT Web manual,1.1823,13.0,3147.0,0.0,0.0,0.0
2026-04-17T01:33:43,What does solvateBox require as input in tleap?,LLM + RAG,4.563,4.6667,587.3333,4.0,0.0,1.0
