timestamp,question,pipeline,avg_ce_score,avg_kw_score,avg_answer_length
2026-04-09T18:30:44,Why should SHAKE be disabled during minimization in AMBER?,LLM + RAG,7.5699,7.3333,528.3333
2026-04-09T18:31:11,Why should SHAKE be disabled during minimization in AMBER?,LLM only,7.1974,6.6667,1473.3333
2026-04-09T18:31:11,Why should SHAKE be disabled during minimization in AMBER?,ChatGPT Web manual,8.5524,7.0,1441.6667
2026-04-09T22:33:05,Why is energy minimization required before molecular dynamics?,LLM + RAG,3.0681,4.6667,288.6667
2026-04-09T22:34:30,Why is energy minimization required before molecular dynamics?,LLM only,7.9786,7.0,2051.3333
2026-04-09T22:34:30,Why is energy minimization required before molecular dynamics?,ChatGPT Web manual,8.9732,7.0,1349.0
2026-04-09T22:50:56,How do you perform energy minimization in AMBER?,LLM + RAG,2.6237,4.0,654.6667
2026-04-09T22:55:36,How do you perform energy minimization in AMBER?,LLM only,9.0465,6.3333,2252.6667
2026-04-09T22:55:36,How do you perform energy minimization in AMBER?,ChatGPT Web manual,7.1968,5.3333,1911.0
2026-04-09T23:05:10,How is the system heated from 0 K to 300 K in AMBER?,LLM + RAG,7.075,9.6667,232.3333
2026-04-09T23:05:47,How is the system heated from 0 K to 300 K in AMBER?,LLM only,7.1813,11.3333,1866.0
2026-04-09T23:05:47,How is the system heated from 0 K to 300 K in AMBER?,ChatGPT Web manual,7.6474,11.6667,2026.0
2026-04-09T23:21:38,What does ntmin=1 vs ntmin=2 do in minimization?,LLM + RAG,8.3617,6.3333,840.3333
2026-04-09T23:22:09,What does ntmin=1 vs ntmin=2 do in minimization?,LLM only,7.3335,6.0,1539.6667
2026-04-09T23:22:09,What does ntmin=1 vs ntmin=2 do in minimization?,ChatGPT Web manual,5.3929,5.0,1224.6667
2026-04-09T23:46:45,"Can AMBER18 be compiled to work with A100 GPUs, or is upgrading to AMBER20 required due to CUDA compatibility issues?",LLM + RAG,9.6704,16.6667,628.0
2026-04-09T23:47:10,"Can AMBER18 be compiled to work with A100 GPUs, or is upgrading to AMBER20 required due to CUDA compatibility issues?",LLM only,8.4553,13.6667,1165.0
2026-04-09T23:47:11,"Can AMBER18 be compiled to work with A100 GPUs, or is upgrading to AMBER20 required due to CUDA compatibility issues?",ChatGPT Web manual,7.7572,14.0,1956.0
2026-04-09T23:54:57,How can I fix or bypass Boost-related build errors when compiling Amber20/AmberTools21 on CentOS 9?,LLM + RAG,9.6821,13.6667,1108.3333
2026-04-09T23:55:57,How can I fix or bypass Boost-related build errors when compiling Amber20/AmberTools21 on CentOS 9?,LLM only,8.182,15.6667,2624.6667
2026-04-09T23:55:57,How can I fix or bypass Boost-related build errors when compiling Amber20/AmberTools21 on CentOS 9?,ChatGPT Web manual,7.0391,12.3333,3804.0
2026-04-10T00:03:23,How can I compile Amber18s pmemd.cuda to work with an RTX 3080TI and CUDA 11+?,LLM + RAG,9.7487,11.0,669.0
2026-04-10T00:04:25,How can I compile Amber18s pmemd.cuda to work with an RTX 3080TI and CUDA 11+?,LLM only,8.5962,10.6667,2444.0
2026-04-10T00:04:25,How can I compile Amber18s pmemd.cuda to work with an RTX 3080TI and CUDA 11+?,ChatGPT Web manual,6.6976,12.3333,2389.6667
2026-04-10T00:11:41,How do I use tleap to build a solvated system?,LLM + RAG,9.7549,6.6667,1010.3333
2026-04-10T00:12:35,How do I use tleap to build a solvated system?,LLM only,8.3476,7.6667,2301.3333
2026-04-10T00:12:35,How do I use tleap to build a solvated system?,ChatGPT Web manual,7.9147,6.6667,1939.3333
2026-04-10T00:20:29,How do I use paramfit to generate force field parameters for boron-containing compounds?,LLM + RAG,10.0315,11.6667,737.0
2026-04-10T00:21:21,How do I use paramfit to generate force field parameters for boron-containing compounds?,LLM only,8.8749,12.0,2636.0
2026-04-10T00:21:21,How do I use paramfit to generate force field parameters for boron-containing compounds?,ChatGPT Web manual,6.8881,12.6667,4004.0
2026-04-10T00:28:15,How do I save topology and coordinate files in tleap?,LLM + RAG,10.0934,7.3333,454.3333
